source,date,uka_code,code,site,pm10,pm10_capture,pm2.5,pm2.5_capture,latitude,longitude,site_type
aurn,2015-01-01T00:00:00Z,UKA00399,ABD,Aberdeen,9.675527,0.955645,7.909394,0.887097,57.15736,-2.094278,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00451,ACTH,Auchencorth Moss,6.328362,0.823925,6.212804,0.829301,55.79216,-3.2429,Rural Background
aurn,2015-01-01T00:00:00Z,UKA00559,AGRN,Birmingham Acocks Green,NA,NA,6.787976,0.883065,52.437165,-1.829999,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00594,BEL1,Belfast Stockman's Lane,18.592992,0.990591,NA,NA,54.572586,-5.974944,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00212,BEL2,Belfast Centre,15.363919,0.994624,10.38475,0.995968,54.59965,-5.928833,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00238,BEX,London Bexley,NA,NA,10.456324,0.913978,51.46603,0.184806,Suburban Background
aurn,2015-01-01T00:00:00Z,UKA00479,BIR1,Birmingham Tyburn,11.624554,0.903226,8.118331,0.901882,52.511722,-1.830583,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00543,BIRT,Birmingham Tyburn Roadside,16.077333,0.806452,9.51519,0.849462,52.512194,-1.830861,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00488,BLC2,Blackpool Marton,NA,NA,13.36194,0.72043,53.80489,-3.007175,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00574,BPLE,Barnstaple A39,15.148341,0.850806,7.485429,0.876344,51.074793,-4.041924,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00494,BRS8,Bristol St Paul's,12.379817,0.732527,8.559199,0.737903,51.462839,-2.584482,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00259,CA1,Camden Kerbside,17.662478,0.748656,11.546721,0.983871,51.544233,-0.175228,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00217,CARD,Cardiff Centre,12.296221,0.462366,7.384928,0.46371,51.48178,-3.17625,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00526,CARL,Carlisle Roadside,15.967135,0.956989,8.810651,0.908602,54.894834,-2.945307,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00553,CHAT,Chatham Roadside,17.723989,0.997312,11.507046,0.991935,51.374264,0.54797,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00515,CHP,Chepstow A48,14.595682,0.591398,7.097963,0.791667,51.638094,-2.678731,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00529,CHS7,Chesterfield Roadside,16.687295,0.983871,11.100416,0.969086,53.231751,-1.456928,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00211,CLL2,London Bloomsbury,17.920833,1,13.185349,1,51.52229,-0.125889,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00592,COAL,Coventry Allesley,NA,NA,10.210825,0.99328,52.411628,-1.560189,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00343,DERY,Derry,19.686443,0.842742,15.013997,0.998656,55.001225,-7.329115,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00591,EA8,Ealing Horn Lane,22.493707,0.982527,NA,NA,51.51895,-0.265617,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00535,EAGL,Stockton-on-Tees Eaglescliffe,9.28702,0.827957,5.050964,0.822581,54.516667,-1.358547,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00546,EB,Eastbourne,19.003021,0.889785,11.273444,0.323925,50.805778,0.271611,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00339,ECCL,Salford Eccles,17.204401,0.885753,14.744545,0.887097,53.48481,-2.334139,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00454,ED3,Edinburgh St Leonards,10.512527,0.733871,9.401144,0.587366,55.945589,-3.182186,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00602,GHSR,Glasgow High Street,13.0125,0.16129,7.414286,0.159946,55.860936,-4.238214,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00576,GLKP,Glasgow Townhead,NA,NA,4.150952,0.846774,55.865782,-4.243631,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00420,GRAN,Grangemouth,11.84069,0.888441,7.71214,0.885753,56.010319,-3.704399,Urban Industrial
aurn,2015-01-01T00:00:00Z,UKA00047,HAR,Harwell,13.681832,0.909946,7.272781,0.908602,51.571078,-1.325283,Rural Background
aurn,2015-01-01T00:00:00Z,UKA00260,HG1,Haringey Roadside,NA,NA,14.514382,1,51.5993,-0.068218,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00525,HOPE,Stanford-le-Hope Roadside,15.754484,0.989247,9.143529,0.913978,51.518167,0.439548,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00540,HR3,London Harrow Stanmore,NA,NA,11.208356,0.997312,51.617333,-0.298777,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00472,HRL,London Harlington,18.916667,0.935484,13.748291,0.943548,51.48879,-0.441614,Urban Industrial
aurn,2015-01-01T00:00:00Z,UKA00450,HUL2,Hull Freetown,NA,NA,7.822472,0.598118,53.748779999999996,-0.341222,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00600,HULR,Hull Holderness Road,18.633867,0.504032,NA,NA,53.759013,-0.305678,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00253,KC1,London N. Kensington,21.15449,0.883065,16.184627,0.883065,51.52105,-0.213419,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00265,LEAM,Leamington Spa,14.407268,0.998656,12.983468,1,52.28881,-1.533119,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00564,LEAR,Leamington Spa Rugby Road,14.752517,0.987903,11.945143,0.94086,52.294884,-1.542911,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00573,LECU,Leicester University,NA,NA,11.192059,0.998656,52.619904,-1.127182,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00527,LED6,Leeds Headingley Kerbside,14.710961,0.895161,10.987057,0.872312,53.819972,-1.576361,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00222,LEED,Leeds Centre,16.606829,0.826613,10.812704,0.825269,53.80378,-1.546472,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00166,LN,Lough Navar,6.051278,0.946237,NA,NA,54.43951,-7.900328,Rural Background
aurn,2015-01-01T00:00:00Z,UKA00247,LVP,Liverpool Speke,13.135938,0.602151,8.441544,0.731183,53.34633,-2.8443329999999998,Urban Industrial
aurn,2015-01-01T00:00:00Z,UKA00248,MAN3,Manchester Piccadilly,NA,NA,11.268439,0.80914,53.48152,-2.237881,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00220,MID,Middlesbrough,12.191586,0.830645,7.956515,0.825269,54.569297,-1.220874,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00315,MY1,London Marylebone Road,26.044412,0.926075,16.202644,0.924731,51.52253,-0.154611,Urban Traffic
aurn,2015-01-01T00:00:00Z,UKA00213,NEWC,Newcastle Centre,15.193193,0.829301,7.315059,0.794355,54.97825,-1.610528,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00549,NO12,Norwich Lakenfields,15.403392,0.990591,13.331984,0.995968,52.614823,1.302686,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00274,NOTT,Nottingham Centre,18.344489,1,10.409434,0.997312,52.95473,-1.146447,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00380,NPT3,Newport,13.39466,0.830645,7.035237,0.823925,51.601203,-2.977281,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00518,OX8,Oxford St Ebbes,12.270612,0.987903,8.18295,0.99328,51.744806,-1.260278,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00323,PEMB,Narberth,11.044222,0.872312,NA,NA,51.782616,-4.69237,Rural Background
aurn,2015-01-01T00:00:00Z,UKA00360,PLYM,Plymouth Centre,14.989783,0.86828,8.402556,0.841398,50.37167,-4.142361,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00421,PMTH,Portsmouth,16.118108,0.994624,9.870941,0.985215,50.82881,-1.068583,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00408,PRES,Preston,NA,NA,8.751031,0.782258,53.76559,-2.680353,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00501,PT4,Port Talbot Margam,23.187572,0.930108,7.979855,0.927419,51.58395,-3.770822,Urban Industrial
aurn,2015-01-01T00:00:00Z,UKA00462,REA1,Reading New Town,12.674764,0.995968,8.639237,0.986559,51.45309,-0.944067,Urban Background
aurn,2015-01-01T00:00:00Z,UKA00251,ROCH,Rochester Stoke,13.166192,0.755376,12.146939,0.856183,51.45617,0.634889,Rural Background
