source,uka_code,code,site,latitude,longitude,site_type,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01
aurn,UKA00399,ABD,Aberdeen,57.15736,-2.094278,Urban Background,7.909394,12.930637,13.091417,10.246262,6.965903,9.393166,6.223005,6.195142,4.933265,8.551111,4.6202819999999996,5.483037,6.006525,3.429848,4.130748,5.893382,7.43473,5.267222,3.242308,4.32726,5.357163,6.076184,4.998459,7.960027,8.128593,7.993274,7.751433,3.796061,8.719811,4.542538,4.996371,4.429272,6.483159,4.550405,4.064395,4.231267,6.344804,6.298837,8.511096,7.595556,9.218725,7.072462,6.757708,4.931737,3.922478,5.18629,8.434722,7.819624,6.037231,10.5455,5.381671,14.530084,6.960565,6.643611,5.918182,7.391047,6.020695,5.300403,7.081094,5.606374,4.512343,5.068906,5.34124,7.150644,5.010703,6.324645,2.801448,4.877419,3.68686,4.593496,6.460587,4.505337,3.951363,8.360812,4.859017,4.952566,4.98715,5.598424,6.590055,5.598567,7.652871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aurn,UKA00451,ACTH,Auchencorth Moss,55.79216,-3.2429,Rural Background,6.212804,3.879862,4.745983,3.738215,1.197422,2.004062,1.699398,2.439024,2.557203,4.479673,1.264731,1.653857,2.181481,0.702997,2.647021,1.95277,4.769886,2.594389,1.221441,2.99794,1.621299,2.223004,1.007224,5.336977,6.168464,6.058238,4.630258,4.79986,8.060459,4.265972,4.626106,3.969355,4.096807,2.167103,2.361439,2.33871,2.968189,4.249099,5.927027,6.72003,8.264651,8.733568,8.080567,2.836268,2.187793,2.91119,4.999954,3.70481,3.771244,6.88333,3.58847,11.554488,3.478249,3.354671,3.747546,3.538352,3.049175,2.702385,4.116631,2.956938,2.982132,2.809841,4.433536,5.660695,3.478819,4.215,2.041864,3.06173,3.025595,2.394448,3.496738,2.427036,2.272064,2.771995,4.515809,4.84996,3.450785,4.087837,4.668323,3.575175,4.357864,2.021089,1.975145,3.099779,3.768635,2.775702,9.09785,4.880291,3.571937,3.751458,2.834485,3.613633,3.054664,2.733641,3.291156,2.657814,2.27646,3.73933,2.41136,5.68762,5.332591,5.303181,2.534574,2.46958,3.770029,2.912996,2.031062,2.416828,3.533371,2.817898,5.11142,2.825549,7.099074,3.113253,2.615774,3.969032,4.412793,3.399854,3.840588,2.180059,2.981838,6.565067,7.833897,5.823404,4.781827,4.934506,3.889085,4.70862,2.204919,3.242048,2.422081,3.262401
aurn,UKA00559,AGRN,Birmingham Acocks Green,52.437165,-1.829999,Urban Background,6.787976,13.33503,16.627419,13.340417,5.912231,6.655911,5.561734,6.238306,7.88743,10.895833,7.963268,6.56707,6.170982,8.677959,13.77531,9.037926,12.658737,9.483333,5.537237,7.646467,9.020278,11.061425,11.803611,16.847838,18.157035,14.968533,10.636828,12.110692,10.890054,8.797083,7.12943,7.496237,9.822222,8.762097,12.278611,9.311399,8.737364,8.507143,10.479004,10.9675,15.063844,9.757917,8.632627,5.274853,6.283889,7.316532,11.850556,8.170296,11.12961,12.742094,7.959886,17.72879,7.404823,6.089063,5.850667,6.914748,5.448692,6.165797,9.735266,8.155528,7.576618,5.930185,9.311279,12.109161,7.275465,7.261756,3.607136,7.263481,7.093647,5.505964,14.485121,7.050679,8.01088,7.901107,9.973602,9.747844,5.653426,6.620846,7.791863,5.864464,7.956367,2.222231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aurn,UKA00594,BEL1,Belfast Stockman's Lane,54.572586,-5.974944,Urban Traffic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aurn,UKA00212,BEL2,Belfast Centre,54.59965,-5.928833,Urban Background,10.38475,12.254181,13.558321,12.304312,6.914651,7.408472,4.644879,5.759754,8.320599,11.344892,8.188194,8.033694,7.603378,5.41567,8.576512,7.491806,10.360403,9.653194,5.572473,7.789624,6.740259,12.952285,16.824167,14.366173,14.618931,10.458532,10.820565,8.62,10.697439,4.349306,4.926344,4.968683,9.159672,7.858199,8.573056,10.492339,11.880215,10.124568,10.038852,10.660803,11.577425,11.797796,6.468901,6.59763,4.914167,8.994146,11.870417,13.82836,12.76626,16.747164,9.218733,21.111667,10.143145,7.018994,3.604545,6.408652,6.467137,6.808224,10.465844,9.646931,8.44622,7.277994,7.679662,8.840673,6.723564,6.167117,3.89907,5.582249,5.68162,5.137219,8.618156,7.856373,8.580819,7.302295,8.301286,7.770242,6.258141,6.805086,7.382359,6.651319,8.911199,5.352284,5.931267,9.193839,10.354101,6.385692,15.852442,8.464067,6.392676,6.167543,4.859778,5.318365,5.264955,7.292888,7.715058,10.230247,7.007545,7.441026,6.129804,7.702337,7.55931,9.125659,4.438228,4.243456,7.662799,6.412489,7.896278,7.000909,8.008312,7.723102,8.81714,5.471654,9.532022,5.799846,4.787617,7.251088,8.006682,6.710551,10.285648,6.447454,8.59347,11.279905,11.444558,10.320305,7.321526,7.586192,6.028099,7.346458,4.627493,6.187715,5.826871,8.509372
aurn,UKA00238,BEX,London Bexley,51.46603,0.184806,Suburban Background,10.456324,12.422967,17.833199,12.648329,7.425707,8.84089,8.134969,7.897273,7.489327,12.817655,9.091226,9.005653,4.845238,8.564458,14.127582,8.582754,13.086137,9.029207,6.580403,7.843544,8.559647,11.389785,11.053912,19.640327,20.943225,10.283883,11.139864,11.317135,11.34386,9.305791,6.839973,8.142525,9.547559,8.529919,12.120651,9.024946,9.8341,11.720777,14.339113,16.527816,18.097301,9.673889,11.332081,7.494872,8.553296,9.915268,14.807789,10.65082,12.816203,18.68608,11.355376,23.116908,9.867734,7.658893,5.999925,4.79625,5.7875,8.875035,9.943472,9.942339,7.032017,5.978386,8.813225,16.288056,10.208468,9.72875,7.044828,11.778818,7.288417,5.05269,13.581171,7.649655,8.689713,10.032434,13.836406,10.23399,6.862538,8.039046,8.941548,5.900054,11.798536,7.372215,9.232086,8.322969,13.132433,6.284279,20.913428,10.551012,7.438558,7.282393,5.733543,7.253656,6.558726,6.967085,7.445785,12.253295,9.79879,12.889483,7.208988,10.902297,8.759578,10.206802,5.05787,5.177542,11.420666,6.497414,7.147041,6.83686,8.626063,5.388901,10.372074,4.986262,10.020129,6.447484,5.1669,6.704734,8.257633,7.213713,12.763663,6.353241,12.74925,16.98261,19.445004,13.234461,8.977263,7.323798,5.808539,6.252434,5.102652,5.790752,6.644926,8.09143
aurn,UKA00479,BIR1,Birmingham Tyburn,52.511722,-1.830583,Urban Background,8.118331,13.008194,16.979861,15.072245,4.796505,6.636667,6.34626,7.960951,8.852686,12.014785,8.683056,7.429635,7.272628,9.963295,16.214481,9.563576,13.419892,11.100278,8.068217,8.709477,9.037222,9.95578,12.599166,16.97938,16.878765,13.782272,9.989645,9.791445,11.013342,7.471681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aurn,UKA00543,BIRT,Birmingham Tyburn Roadside,52.512194,-1.830861,Urban Traffic,9.51519,14.593881,18.016329,15.422517,8.325326,9.93338,9.012573,7.971371,11.104631,15.788038,11.609471,9.700292,11.516039,11.50492,17.738263,11.117937,14.712921,13.154583,9.217885,10.87662,9.452288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aurn,UKA00488,BLC2,Blackpool Marton,53.80489,-3.007175,Urban Background,13.36194,18.242712,15.543711,8.61179,4.19502,5.785489,4.367753,4.6214,6.921806,12.105914,8.91516,7.671833,10.981593,8.175417,9.615882,6.48628,10.04086,9.015833,3.923594,5.066156,5.346434,6.379245,7.614624,12.268145,15.227796,10.15209,8.063575,6.243333,8.521102,5.518472,5.587445,3.795968,6.484819,5.862668,7.597746,6.501889,7.631527,7.999851,10.479139,9.313529,10.833333,9.246667,7.398827,4.280711,4.078998,8.497929,10.942479,9.742541,NA,22.080846,8.827804,19.385477,7.427449,5.506347,5.34163,6.710102,6.014208,6.396385,10.645113,9.589944,9.301451,10.256162,10.94214,10.976099,7.225622,8.215868,4.229619,6.272786,6.921275,5.647403,11.521174,7.127341,8.76128,6.925343,11.875153,8.867763,5.471213,5.863722,6.668905,5.38036,7.797365,5.203565,6.819079,8.458889,10.455742,8.219479,15.126259,9.003082,6.13844,5.509882,4.471849,5.312537,4.842656,6.228596,8.19822,11.072745,8.637549,9.33372,5.751285,8.889481,7.215235,7.519586,4.126834,3.914825,8.235489,6.108832,6.845587,7.892416,7.403126,8.575834,10.300749,5.793655,10.121642,6.156242,4.890475,6.759709,7.087456,5.910166,10.960202,6.118691,9.25762,11.792406,12.707359,9.679055,7.292488,7.027871,5.608621,6.874996,4.788378,7.910762,6.263095,6.814036
aurn,UKA00574,BPLE,Barnstaple A39,51.074793,-4.041924,Urban Traffic,7.485429,11.980896,16.081944,13.317737,6.833199,7.611111,6.380997,7.211959,8.24174,12.392168,9.01298,7.761351,7.278167,9.820114,14.019298,9.095739,13.439474,11.591242,7.023427,9.582353,7.64701,11.733198,10.193715,14.939113,16.02764,10.991141,9.534683,NA,NA,NA,NA,NA,NA,5.825298,6.427855,5.246995,5.791017,8.690923,7.306595,8.525694,6.857968,8.798324,6.606355,3.13034,4.300161,6.408264,9.4875,6.711201,7.368421,14.890093,10.47035,15.02099,7.318119,5.714882,4.856322,4.370851,4.809929,6.77561,7.71727,8.921938,9.390625,7.241438,10.942693,16.620642,9.6,7.271186,4.170118,5.943534,7.04782,6.548518,8.920613,6.642857,9.495671,8.547855,11.664865,7.40612,6.55296,8.115438,8.197297,7.678511,9.443329,6.021651,6.983923,NA,NA,NA,NA,NA,NA,5.843182,5.244231,7.624033,7.17486,6.925043,9.128852,10.694595,11.406593,10.992038,6.363481,9.544693,7.708535,8.518152,5.532308,6.010722,7.678254,6.320222,6.396034,5.770407,8.805525,5.757383,6.67595,5.804531,6.885887,5.29814,4.14812,6.226599,6.439688,4.989105,8.191333,4.92936,8.073117,11.395151,12.283442,8.967712,7.777312,5.781404,4.937307,6.085375,4.184765,5.987679,4.725975,6.264931
aurn,UKA00494,BRS8,Bristol St Paul's,51.462839,-2.584482,Urban Background,8.559199,14.610119,18.252759,14.590577,8.015364,8.862571,7.177628,7.101789,7.649784,12.294847,7.316852,7.368237,6.411184,9.65317,13.618231,7.34595,10.91586,9.519413,5.845161,10.471499,8.101406,13.717742,13.550975,23.443526,21.183032,13.860038,9.649731,9.899028,9.84879,8.418129,6.577316,6.415882,8.369359,8.249731,11.825496,9.225641,11.50871,10.935312,12.976923,13.056944,16.392867,10.588951,12.481888,NA,9.292982,10.130552,13.276217,9.86779,12.008548,17.391071,10.229435,20.144306,9.570161,7.710894,6.883465,7.513514,3.357616,6.199593,11.352756,12.307692,12.478807,10.16259,8.688693,14.134266,9.775815,7.630769,7.292035,8.621234,7.806676,5.849593,14.383543,8.630229,8.585843,7.995522,11.561238,9.039052,6.715633,7.649025,8.467474,6.423358,9.520223,7.217742,9.148148,7.638441,14.226563,5.789238,13.200538,9.125541,6.942337,6.97629,5.664168,6.006793,6.017831,6.651822,7.63623,12.62406,9.762058,11.698957,7.162382,9.506259,7.716016,6.862275,NA,3.880952,8.087989,6.345109,8.270423,7.513441,8.508857,5.813584,7.839838,4.504167,7.939435,6.936111,5.540107,7.241135,7.147059,6.890244,12.6375,5.285521,11.353752,13.117293,15.131436,9.265647,7.331081,6.619247,5.572079,6.682003,4.896996,6.157143,6.682961,7.480432
